Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C0402",15.341100,58.516400,270.000000,top
"C2","1u","C0402",18.516100,58.516400,90.000000,top
"C3","15p","C0402",7.721100,56.611400,270.000000,top
"C4","15p","C0402",7.721100,54.071400,270.000000,top
"C5","100n","C0402",13.025000,44.575000,0.000000,top
"C6","100n","C0402",21.691100,56.293900,180.000000,top
"C7","100n","C0402",9.626100,50.896400,0.000000,top
"C8","10u","C0402",15.341100,60.421400,270.000000,top
"C9","10u","C0402",7.721100,50.896400,0.000000,top
"C10","100p","C0402",26.790000,53.570000,270.000000,top
"C18","47p","C0402",11.848600,13.113900,270.000000,top
"C19","47p","C0402",11.848600,9.303900,270.000000,top
"C20","47p","C0402",11.848600,5.493900,270.000000,top
"C21","47p","C0402",25.183600,8.668900,90.000000,top
"C22","100nF","C0402",25.100000,11.600000,270.000000,top
"C24","100n","C0402",22.150000,45.600000,90.000000,top
"C25","56p","C0402",22.150000,43.000000,90.000000,top
"C26","15p","C0402",22.150000,41.700000,90.000000,top
"C27","10n","C0402",22.150000,44.300000,90.000000,top
"C29","100u","1206",26.400000,48.200000,0.000000,top
"C31","1u","C0402",12.500000,30.800000,180.000000,top
"C32","1u","C0402",12.000000,28.700000,270.000000,top
"D4","PESD0402-140","0402-TVS",11.848600,7.081400,180.000000,top
"D5","PESD0402-140","0402-TVS",25.183600,10.256400,0.000000,top
"D6","PESD0402-140","0402-TVS",11.848600,10.891400,180.000000,top
"D7","PESD0402-140","0402-TVS",11.848600,14.701400,180.000000,top
"D15","PESD0402-140","0402-TVS",22.250000,40.300000,180.000000,top
"IC1","ATSAMD21G","TQFP48",12.596100,55.531400,270.000000,top
"J1","U.FL","U.FL",31.750000,43.075000,270.000000,top
"JP3","JST PH","JST_PH_B10B-PH-SM4-TB_1x10-1MP_P2.00mm_Vertical",4.270800,19.556600,270.000000,top
"K1","693043020611","693043020611",18.516100,13.431400,0.000000,top
"L1","SM-1206","SM-1206",9.650000,45.000000,0.000000,top
"Q1","32768 Hz","FC135",10.261100,55.341400,270.000000,top
"Q2","DTC123JET1G","SC75_SOT416",12.200000,25.800000,90.000000,top
"Q3","DTC123JET1G","SC75_SOT416",18.700000,41.600000,0.000000,top
"Q4","DTC123JET1G","SC75_SOT416",25.450000,15.850000,90.000000,top
"R1","330","C0402",26.800000,56.310000,270.000000,top
"R2","2k2","C0402",26.800000,55.030000,90.000000,top
"R13","2k","C0402",5.850000,36.500000,90.000000,top
"R14","2k","C0402",5.800000,38.550000,90.000000,top
"R22","0R","C0402",6.300000,41.600000,0.000000,top
"R23","0R","C0402",9.100000,41.600000,0.000000,top
"R24","0R","C0402",7.700000,41.600000,0.000000,top
"R25","1M","C0402",5.500000,33.650000,0.000000,top
"TP6","TPTP08R","TP08R",10.737350,50.737650,0.000000,top
"TP9","TPTP08R","TP08R",14.229850,57.087650,0.000000,top
"TP13","TPTP08R","TP08R",15.350000,57.150000,0.000000,top
"TP16","TPTP08R","TP08R",28.700000,56.300000,0.000000,top
"U1","SN74AVC4T774PWG4","PW16",10.275000,36.300000,270.000000,top
"U2","BC66","Quectel_BC66",24.100000,28.750000,0.000000,top
"X1","USB_MICRO_SHIELD","USBMICRO",14.071100,70.962400,180.000000,top
